Author,Organization,Score
yxieca,Microsoft,2943.75
wangxin,Microsoft,2898.45
lguohan,Microsoft,2892.55
bingwang-ms,Microsoft,2450.35
jleveque,Microsoft,2298.0
lolyu,Microsoft,2078.5
qiluo-msft,Microsoft,2033.5
stephenxs,Nvidia,1773.65
Junchao-Mellanox,Nvidia,1745.4
kcudnik,Microsoft,1738.6
neethajohn,Microsoft,1590.75
vaibhavhd,Microsoft,1544.3
prsunny,Microsoft,1410.0
stepanblyschak,Nvidia,1387.85
theasianpianist,Microsoft,1356.8
daall,Microsoft,1273.25
richardyu-ms,Microsoft,1185.5
abdosi,Microsoft,1108.95
vdahiya12,Microsoft,1053.55
keboliu,Nvidia,1013.1
dgsudharsan,Nvidia,979.55
Pterosaur,Microsoft,857.4
vivekrnv,Nvidia,849.25
ZhaohuiS,Microsoft,822.25
pavel-shirshov,Microsoft,806.35
wen587,Microsoft,787.2
xumia,Microsoft,736.0
renukamanavalan,Microsoft,721.25
arlakshm,Microsoft,701.25
nazariig,Nvidia,699.15
SuvarnaMeenakshi,Microsoft,685.15
smaheshm,Microsoft,682.65
sujinmkang,Microsoft,675.3
liushilongbuaa,Microsoft,665.6
tahmed-dev,Microsoft,663.1
Blueve,Microsoft,655.2
liat-grozovik,Nvidia,629.35
judyjoseph,Microsoft,599.75
ganglyu,Microsoft,595.9
zjswhhh,Microsoft,594.3
shi-su,Microsoft,579.15
liuh-80,Microsoft,570.85
yejianquan,Microsoft,568.15
yutongzhang-microsoft,Microsoft,548.9
yaqiangz,Microsoft,547.8
shlomibitton,Nvidia,539.8
baiwei0427,Microsoft,529.8
sanmalho-git,Nokia,502.45
stcheng,Microsoft,491.0
alexrallen,Nvidia,474.35
gechiang,Microsoft,473.5
yozhao101,Microsoft,466.05
ppikh,Nvidia,460.5
volodymyrsamotiy,Nvidia,452.95
sumukhatv,Uber,449.35
Staphylo,Broadcom,447.15
kellyyeh,Microsoft,423.4
saiarcot895,Microsoft,420.6
AndriiLozovyi,Intel,418.25
StormLiangMS,Microsoft,416.6
prgeor,Microsoft,401.95
wendani,Microsoft,388.0
kevinskwang,Microsoft,369.1
xwjiang-ms,Microsoft,366.9
