Individual,Score
tahmed-dev,663.1
mannytaheri,201.4
Hedgehog-Guru,182.25
jsanghra,180
jostar-yang,178.4
tcusto,170
zzhiyuan,155.95
zhoudongxu,147.9
antony-rheneus,134.6
ANISH-GOTTAPU,123.5
pkochmanska,121.3
byu343,121.25
sihuihan88,121.1
vboykox,110.8
x-junyi,106.8
bratashX,106.5
kamalsahu0001,97
shine4chen,89.65
pra-moh,87.85
simonJi2018,85.75
vasant17,85.65
bocon13,85.1
paavaanan,72.85
padmanarayana,71.85
abanu-ms,64.75
vharish02,64.2
rraguraj,61
mmysle,60
bluecmd,59.75
ravi861,59.6
brandonchuang,59
MariuszStachura,57
nikos-github,55.65
tonytitus,51.95
Sabareesh-Kumar-Anandan,50
MaxYaremchuk,49.5
tylerlinp,49.05
kmalek-priv,45
ustachowiak,45
seiferteric,44.95
abhijit-dhar,44
phshaikh,43.5
dereksun01,43
mdivyamohan,40.5
svelamal,39
macikgozwa,38.65
dmytroxshevchuk,38
tarakreddy1984,37.75
msiddare,37.5
FunForNOS,36
RogerX87,36
globaltrouble,35.3
Cosmin-Jinga-MS,35
erohsik,35
xinyulin,34.05
taocy001,34
abhiranjeet,33.75
gollarharsha,33.75
mlorrillere,33.7
SidharajU,33.45
jonathantsai-qci,33
shyam77git,32.45
kv-y,32.4
dawnbeauty,31.6
nazeerhussainf,31.5
eswaranb,31.2
NazarTkachuk,30
isgmano,30
zhanggongc,30
sojindal,29
roberthong-qct,28.6
minionatwork,27.55
madhava28,27.25
arvbb,27
joyas-joseph,26.4
hans-tseng,26
GarrickHe,25.5
mkbalani,25.45
aganguly-keysight,25
miheot,25
BaluAlluru,24
William-zx,24
henzelis,24
BrynXu,23.4
dev-aviz,23
aseaudi,22.5
zhengbiqing,22.5
alpeshspatel,21.15
KostiantynYarovyiBf,21
tbgowda,21
ziverlichson,21
AntheaJiang,20.25
pyuvarajan,20
UmaMaven,19.5
guking3,19.5
irene-pan1202,19.5
ncalad,18.75
sanjair-git,18.6
gregshpit,18.5
stanepc1,18.5
bacrossland,18.3
StanleyCi,18
michealylj1,18
wbschwar,17.7
juntseng62,17.5
rbpittman,17.4
119064273,16.75
Ezrickd,16.7
bbinxie,16.5
shri-khare,16.35
thaj-deen,16.25
uraghura,15.75
richard28530,15.35
leoli-nps,15.15
mfriyas,15.15
pyadvichuk,15.15
FSSec,15
SanjayTh,15
andriydnvd,15
budgrise,15
haslersn,15
JohnsonYJLu,14.5
fillmorechen0928,14.5
klhaung,14.5
jaganbal-a,14.1
andrii-savka,13.5
nicwu-cel,13.5
jmmikkel,13
mipxman,12.75
pjeyarat,12.75
steven-guo-ec,12.5
tiantianlv,12.5
linalvin,12.3
WistronNetwork,12
dinosn,12
dlringor,12
sampad1996,12
songqh2022,12
sureshsekar28,12
dipalipatel25,11.4
slogan621,11.4
TyagiShailesh,11.25
mbze430,11.25
shall1024,11.25
CLUDev,11
donboll,10.45
OlaOliynyk,10.4
CynthiaINV,10
bpar9,10
cawand,10
fredyu190011,10
jjangmua,10
srikrishnagopu,10
xjasonlyu,10
zoe-kuan,10
batmancn,9.7
amitabhja,9.5
cpchangtw,9.5
BasimShalata,9.25
Rancho333,9
andriidovhan,9
aslam-man,9
chiranjeevi-07,9
copyandrun,9
ixodie,9
tadams-msft,9
veber-alex,9
apogedik,8.5
rsunkad,8
ITJamie,7.8
rameshsanth,7.55
InventecJamesHuang,7.5
JohnFanDNI,7.5
NStetskovych-zz,7.5
TzvikNVDA,7.5
aledwmorris,7.5
david-xk,7.5
dduttman,7.5
dependabot,7.5
hari-selvam,7.5
jeffchen1988,7.5
