Microsoft,53099.95
Nvidia,14971.75
Broadcom,3087.5
Intel,2260.65
Dell,1957.7
Nokia,1631.6
Cisco,944.5
Mellanox,929.2
Alibaba,461.15
Uber,449.35
Edgecore,437.45
ByteDance Networking,388
PLVision,339.8
Juniper Networks,323.4
Airbnb,322.1
Arista,274.8
Bayer (Thailand),238.1
Marvell,231.15
ruijie.com.cn,188.5
linkedin,173.55
Tencent,166
Accton,150.75
Centec,122.6
LinkedIn,113.75
ragilenetworks,99.9
C AI,99.25
Celestica,94.9
xFlow Research Inc.,82.8
Google,77.6
Keysight,75.2
Keysight Technologies Inc,71.5
IXIA Labs Keysight Technologies,43.35
JABIL SOFTWARE SERVICES,43.25
Ragilenetworks,41.75
Asterfusion,41.1
Internet Initiative Japan Inc.,38.75
Max-Planck-Institut für molekulare Genetik,35.75
Open Networking Foundation,31.55
Docker,29.5
Barefoot,27.35
Ingrasys,23
@genesiscloud,21.75
MSFT,21
criteo,19.8
UfiSpace,18.1
ex-@google,18
Orange,18
jd,17.5
Ruijie Networks,17
 Inventec,15.2
Arm,14.25
Jabil Software Services,13.25
Netberg,12.8
NTT,12.7
TW,12.15
Fungible Inc,10.5
Pegatron Corp,10
https://git.teraspek.cn/,9.75
@eBay,9
Aussie Server Hosts,9
Google Inc.,9
baidu.com,8.5
Self,8.5
Aviatrix,8.5
Linkedin,7.65
@tutao,7.5
TETA-co.ir,7.5
@usnistgov,7.5
IBM,6.25
Jabil,6
Inspur,5
edge-core,5
Cavium,5
@tencent,4.65
Orange Labs,4.5
@wwt,4.5
Ufispace,4.5
@rbccps-iisc @dreamlabin,4.5
 H3C Open Source,4.5
China,4.5
X Networks,4
Keysight Technologies,4
BUAA,3.75
University of Edinburgh,3.75
pensnado,3.75
YMC AG,3.75
Texas A&M University,3
TerraHost AS,3
@tamu-edu,3
ArcaneByte,3
Cloudlight,3
Vertiv,3
Red Mud Village,3
Crash Course,3
@canonical,3
N/A,2.5
keysight,2.4
SONM,2.25
The Linux Foundation,1.8
Mirantis,1
GlobalLogic,1
WT microelectronics,1
TU Ilmenau,1
SAP,0.9
@VMware,0.9
Google Inc,0.9
edge-core.com,0.75
@Keysight,0.4
Oracle,0.3
none,0.25
Replicated Inc.,0.25
First Mode,0.2
Duiadns Co,0.15
@Redpill-Linpro,0.15
@OrdnanceNetworks,0.1
www.volansys.com,0.1
Dunstan Associates,0
juniper networks,0
Fungible,0
@Google,0
x-cellent technologies GmbH,0
Standard Air & Lite,0
Mov.AI,0
@bisdn,0
Beijing University of Posts and Telecommunications,0
PurePeople,0
@Vinted,0
xFlow Research Inc,0
Cybbed,0
