,Voter,Eddie Ruan (Alibaba),Kishore Atreya (Marvell),Ben Bronson (Aviz Networks),Senthil Kumar Ganesan (Dell),Mehak Mahajan (Broadcom),Debashis Chatterjee (Intel),Manikandan Veerachamy (Cisco System Inc),taras.chornyi (PLVision),Lihua Yuan (Microsoft),Samuel Angebault (Arista),Bhagat Janarthanan (Google)
Nominees,SUM,,,,,,,,,,,
Bhagat Janarthanan (Google),116824,934,1274,246,6947,7016,2504,1483,939,89679,4218,1584
Eddie Ruan (Alibaba),116824,934,1274,246,6947,7016,2504,1483,939,89679,4218,1584
Lihua Yuan (Microsoft),116824,934,1274,246,6947,7016,2504,1483,939,89679,4218,1584
Senthil Kumar Ganesan (Dell),116578,934,1274,,6947,7016,2504,1483,939,89679,4218,1584
Liat Grozovik (NVidia),114320,934,1274,246,6947,7016,,1483,939,89679,4218,1584
Mehak Mahajan (Broadcom),112606,934,1274,246,6947,7016,2504,1483,939,89679,,1584
Ravindranath C Kanakarajan (Marvell),109808,934,1274,246,6947,,2504,1483,939,89679,4218,1584
Deb Chatterjee (Intel),107595,934,,246,6947,,2504,1483,,89679,4218,1584
Praveen Bhagwatula (Cisco),105590,934,1274,246,6947,,2504,1483,939,89679,,1584
Leonid Khedyk (PLVision),11733,,1274,,,7016,2504,,939,,,
Madhu Paluru (Aviz Networks),11480,,,246,,7016,,,,,4218,
Samuel Angebault (Arista),11234,,,,,7016,,,,,4218,
