Author,Organization,Score
lguohan,Microsoft,7355.50
stephenxs,Nvidia,5180.10
jleveque,Microsoft,4901.40
kcudnik,Microsoft,4827.15
qiluo-msft,Microsoft,4205.50
yxieca,Microsoft,4065.45
Junchao-Mellanox,Nvidia,2854.00
prsunny,Microsoft,2636.70
stepanblyschak,Nvidia,2449.95
wangxin,Microsoft,2369.05
bingwang-ms,Microsoft,2201.45
vdahiya12,Microsoft,2126.05
lolyu,Microsoft,2083.45
richardyu-ms,Microsoft,1941.10
keboliu,Nvidia,1934.45
abdosi,Microsoft,1928.70
neethajohn,Microsoft,1789.05
daall,Microsoft,1778.55
dgsudharsan,Nvidia,1686.50
pavel-shirshov,Microsoft,1613.10
xumia,Microsoft,1607.30
vivekrnv,Nvidia,1464.05
liushilongbuaa,Microsoft,1455.45
nazariig,Nvidia,1427.10
theasianpianist,Microsoft,1413.25
Pterosaur,Microsoft,1357.90
renukamanavalan,Microsoft,1297.05
Staphylo,Broadcom,1285.40
vaibhavhd,Microsoft,1204.35
liat-grozovik,Nvidia,1144.40
SuvarnaMeenakshi,Microsoft,1119.05
judyjoseph,Microsoft,1107.20
zjswhhh,Microsoft,1060.40
arlakshm,Microsoft,1057.40
tahmed-dev,Microsoft,1048.30
shi-su,Microsoft,1035.10
smaheshm,Microsoft,1015.55
shlomibitton,Nvidia,992.25
stcheng,Microsoft,982.35
liuh-80,Microsoft,972.05
tianshangfei,Tencent,964.20
aravindmani-1,Dell,955.70
gechiang,Microsoft,909.45
volodymyrsamotiy,Nvidia,868.25
saiarcot895,Microsoft,850.25
sujinmkang,Microsoft,836.25
vadymhlushko-mlnx,Nvidia,819.85
wendani,Microsoft,790.55
sumukhatv,Uber,752.80
alexrallen,Nvidia,745.00
mudsut4ke,Bayer,734.80
ArunSaravananBalachandran,Dell,730.80
Blueve,Microsoft,687.15
jostar-yang,Others,669.40
tonytitus,Others,665.75
kellyyeh,Microsoft,665.35
ZhaohuiS,Microsoft,650.00
zhenggen-xu,Microsoft,649.80
madhanmellanox,Nvidia,644.40
prgeor,Microsoft,628.05
ghooo,airbnb,618.10
yejianquan,Microsoft,615.55
wen587,Microsoft,612.65
mykolaf,Nvidia,608.50
kannankvs,Dell,588.25
rhalstea,Google,587.90
yozhao101,Microsoft,580.35
pettershao-ragilenetworks,Ragile,577.20
ganglyu,Microsoft,573.45
AshokDaparthi,Dell,571.85
marian-pritsak,Nvidia,571.65
aljer,Intel,541.10
dprital,Nvidia,539.25
AkhileshSamineni,Broadcom,530.55
praveen-li,Linkedin,525.25
sachinholla,Broadcom,484.90
yutongzhang-microsoft,Microsoft,477.70
zbud-msft,Microsoft,459.30
StormLiangMS,Microsoft,457.10
baiwei0427,Microsoft,446.75
akokhan,plvision,435.20
jimmyzhai,Microsoft,418.15
zzhiyuan,Others,409.40
jipanyang,Alibaba,407.35
mlok-nokia,Nokia,399.70
andywongarista,Others,390.10
Gfrom2016,Microsoft,389.70
dzhangalibaba,Alibaba,387.35
ramakristipati,Broadcom,384.10
vmittal-msft,Microsoft,382.40
sanmalho-git,Nokia,379.15
srideepDell,Dell,365.60
pkochmanska,Others,352.10
yaqiangz,Microsoft,350.10
PrabhuSreenivasan,Broadcom,346.40
maipbui,Microsoft,343.80
vboykox,Others,341.85
ciju-juniper,Juniper,340.30
vganesan-nokia,Others,337.70
antony-rheneus,Others,336.05
msosyak,plvision,336.05
JaiOCP,Broadcom,335.20
roylee123,accton,334.00
andriymoroz-mlnx,Others,312.65
ayurkiv-nvda,Nvidia,312.05
anish-n,Microsoft,311.75
siqbal1986,Microsoft,311.70
simonJi2018,Others,308.85
roberthong-qct,Others,305.20
isabelmsft,Microsoft,304.85
mint570,Google,300.90
AndriiLozovyi,Intel,297.15
rajendra-dendukuri,Broadcom,295.95
byu343,Others,295.55
shihjeff,Marvell,286.70
liorghub,Nvidia,284.00
santhosh-kt,Dell,282.90
,Others,280.75
FuzailBrcm,Broadcom,277.20
samaity,Linkedin,269.90
zhoudongxu,Others,265.80
qbdwlr,Juniper,264.80
chitra-raghavan,Dell,264.00
RyoYang,Microsoft,257.70
kevinskwang,Microsoft,250.95
DavidZagury,Nvidia,249.80
RogerX87,Others,247.80
ppikh,Nvidia,246.70
noaOrMlnx,Nvidia,246.00
dutta-partha,Broadcom,244.70
michealylj1,Others,243.80
sihuihan88,Microsoft,243.20
paavaanan,Dell,241.25
xwjiang-ms,Microsoft,238.80
SavchukRomanLv,Intel,235.20
tjchadaga,Microsoft,229.55
arunlk-dell,Dell,224.50
shine4chen,Others,221.20
venkatmahalingam,Dell,220.90
dflynn-Nokia,Others,215.55
nhe-NV,Nvidia,213.30
antonptashnik,Intel,210.70
TACappleman,Microsoft,210.50
OleksandrKozodoi,Intel,209.85
taocy001,Others,203.60
x-junyi,Others,203.10
ysmanman,Broadcom,193.70
tim-rj,Ruijie,193.50
a-barboza,Broadcom,190.20
yvolynets-mlnx,Nvidia,182.65
donNewtonAlpha,open networking foundation,182.60
dmytroxshevchuk,Others,181.60
AntonHryshchuk,Nvidia,180.40
