Organization,Score
Microsoft,107495.30
Nvidia,35820.50
Others,23124.50
Google,17198.80
Broadcom,8385.85
Arista,6216.25
Cisco,5319.50
Dell Technologies,4206.85
Marvell,2402.10
Intel,1941.85
Nokia,1456.05
Ragile,1118.95
Tencent,668.80
Alibaba,648.10
EdgeCore,534.45
plvision,467.10
Uber,437.10
airbnb,416.50
Linkedin,414.15
Aviz Networks,378.80
Keysight,377.25
Dell,322.10
Juniper,310.50
Centec,310.10
Bayer,288.95
netberg,251.60
ufispace,158.55
xFlow Research,113.75
Ruijie,111.80
Orange,93.25
pensnado,77.80
accton,74.55
Celestica,59.10
Jabil,55.50
fungible inc,50.75
Max-Planck-Institut,47.90
c ai,43.05
GenesisCloud,19.00
asterfusion,15.45
JD,14.25
cloudlight,14.00
Internet Initiative Japan,13.75
the linux foundation,12.45
inspur,6.00
sap,5.75
eBay,4.50
Baidu,4.00
arcanebyte,4.00
ingrasys,4.00
ibm,3.75
@vinted,3.00
n/a,3.00
arm,2.75
standard air & lite,2.50
ntt,2.30
aussie server hosts,2.00
Teraspek,1.75
vertiv,1.75
Tutao,1.50
USnistgov,1.50
teta-co.ir,1.50
@bisdn,1.25
@redpill-linpro,1.25
purepeople,1.25
x-cellent technologies gmbh,1.25
@rbccps-iisc @dreamlabin,1.00
H3C,1.00
china,1.00
buaa,0.75
tw,0.75
university of edinburgh,0.75
ymc ag,0.75
Canonical,0.50
Texas A&M University,0.50
crash course,0.50
terrahost as,0.50
texas a&m university,0.50
@pensando,0.25
dunstan associates,0.25
first mode,0.10
replicated inc.,0.10
